1	и	conj	and
2	в во	prep	in, inside of, at
3	не	particle	not, no
4	он	pron	he
5	на	prep	on, over, to
6	я	pron	I
7	что	conj	that
8	тот	pron	that
9	быть	verb	to be
10	с со	prep	with, from, since
11	а	conj	but, whereas
12	весь	pron	all, entire
13	это	pron	this, it
14	как	adv	how
15	она	pron	she
16	по	prep	on, along
17	но	conj	but
18	они	pron	they
19	к ко	prep	to, towards
20	у	prep	at, close to
21	из изо	prep	from, out of
22	мы	pron	we
23	за	prep	for, behind
24	ты	pron	you, thou
25	вы	pron	you
26	так	adv	so, thus
27	сказать	verb	to tell
28	от	prep	off, from
29	этот	pron	this
30	который	pron	which
31	мочь	verb	can
32	о об обо	prep	about, on the topic of
33	человек	noun	person
34	один	card	one
35	еще	adv	still, yet, more
36	такой	pron	such
37	только	adv	only
38	себя	pron	myself, himself, herself, itself
39	свое	pron	its, own
40	какой	pron	what, which
41	для	prep	for
42	уже уж	adv	already
43	когда	adv	when
44	кто	pron	who
45	вот	particle	here is, there
46	да	adv	yes
47	год	noun	year
48	знать	verb	to know
49	если	conj	if, in case
50	до	prep	until, up to
51	говорить	verb	to speak
52	или	conj	or
53	мой	pron	mine
54	время	noun	time
55	рука	noun	hand
56	самый	pron	most
57	нет	adv	no
58	ни	particle	not a, in no
59	стать	verb	to become
60	большой	adj	big
61	наш	pron	ours
62	даже	adv	even
63	другой	pron	another
64	свой	pron	its, own
65	дело	noun	business
66	под	prep	under
67	где	adv	where
68	ну	interj	well, come on
69	сам	pron	myself, yourself, itself
70	есть	verb	to be, to eat
71	раз	noun	time, once
72	два	card	two
73	чем	conj	than, instead of
74	там	adv	there
75	глаз	noun	eye
76	первый	ord	first
77	день	noun	day
78	жизнь	noun	life
79	тут	adv	here
80	ничто	pron	nothing
81	потом	adv	then, afterwards
82	очень	adv	very
83	ли	conj	whether
84	при	prep	at, with, at the time of
85	хотеть	verb	to want
86	надо	predicate	need, one must
87	голова	noun	head
88	без	prep	without
89	видеть	verb	to see
90	теперь	adv	now
91	идти	verb	to go
92	друг	noun	friend
93	сейчас	adv	now
94	стоять	verb	to stand
95	дом	noun	house
96	тоже	adv	too
97	после	prep	after
98	можно	predicate	it is possible, one may
99	слово	noun	word
100	через	prep	across, through, after
101	место	noun	place
102	думать	verb	to think
103	здесь	adv	here
104	спросить	verb	to ask
105	лицо	noun	face
106	тогда	adv	then
107	что	pron	that, which
108	должный	adj	due, proper
109	ведь	conj	in fact
