property	url	status	title
--*	http://dev.w3.org/csswg/css-variables/#propdef-	ED	CSS Custom Properties for Cascading Variables Module Level 1
--*	http://www.w3.org/TR/2015/CR-css-variables-1-20151203/#propdef-	CR	CSS Custom Properties for Cascading Variables Module Level 1
align-content	http://dev.w3.org/csswg/css-align/#propdef-align-content	ED	CSS Box Alignment Module Level 3
align-content	http://www.w3.org/TR/2014/WD-css-align-3-20141218/#propdef-align-content	WD	CSS Box Alignment Module Level 3
align-content	http://www.w3.org/TR/2016/CR-css-flexbox-1-20160301/#propdef-align-content	CR	CSS Flexible Box Layout Module Level 1
align-content	https://drafts.csswg.org/css-flexbox/#propdef-align-content	ED	CSS Flexible Box Layout Module Level 1
align-items	http://dev.w3.org/csswg/css-align/#propdef-align-items	ED	CSS Box Alignment Module Level 3
align-items	http://www.w3.org/TR/2014/WD-css-align-3-20141218/#propdef-align-items	WD	CSS Box Alignment Module Level 3
align-items	http://www.w3.org/TR/2016/CR-css-flexbox-1-20160301/#propdef-align-items	CR	CSS Flexible Box Layout Module Level 1
align-items	https://drafts.csswg.org/css-flexbox/#propdef-align-items	ED	CSS Flexible Box Layout Module Level 1
align-self	http://dev.w3.org/csswg/css-align/#propdef-align-self	ED	CSS Box Alignment Module Level 3
align-self	http://www.w3.org/TR/2014/WD-css-align-3-20141218/#propdef-align-self	WD	CSS Box Alignment Module Level 3
align-self	http://www.w3.org/TR/2016/CR-css-flexbox-1-20160301/#propdef-align-self	CR	CSS Flexible Box Layout Module Level 1
align-self	https://drafts.csswg.org/css-flexbox/#propdef-align-self	ED	CSS Flexible Box Layout Module Level 1
alignment-baseline	http://dev.w3.org/csswg/css-inline/#propdef-alignment-baseline	ED	CSS Inline Layout Module Level 3
alignment-baseline	http://www.w3.org/TR/2015/WD-css-inline-3-20150917/#propdef-alignment-baseline	WD	CSS Inline Layout Module Level 3
all	http://dev.w3.org/csswg/css-cascade-3/#propdef-all	ED	CSS Cascading and Inheritance Level 3
all	http://dev.w3.org/csswg/css-cascade/#propdef-all	ED	CSS Cascading and Inheritance Level 4
all	http://www.w3.org/TR/2015/CR-css-cascade-3-20150416/#propdef-all	CR	CSS Cascading and Inheritance Level 3
all	http://www.w3.org/TR/2016/CR-css-cascade-4-20160114/#propdef-all	CR	CSS Cascading and Inheritance Level 4
animation	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation	WD	CSS Animations
animation-delay	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-delay	WD	CSS Animations
animation-direction	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-direction	WD	CSS Animations
animation-duration	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-duration	WD	CSS Animations
animation-fill-mode	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-fill-mode	WD	CSS Animations
animation-iteration-count	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-iteration-count	WD	CSS Animations
animation-name	http://www.w3.org/TR/2013/WD-css3-animations-20130219/#animation-name	WD	CSS Animations
