日付,国,都市,会場,競技会名,カテゴリー,セグメント,Judges Scores
2016-11-25,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,ペア,ショートプログラム,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Pairs_SP_Scores.pdf
2016-11-25,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,男子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Men_SP_Scores.pdf
2016-11-25,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,女子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Ladies_SP_Scores.pdf
2016-11-26,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,アイスダンス,ショートダンス,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_IceDance_SD_Scores.pdf
2016-11-26,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,ペア,フリースケーティング,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Pairs_FS_Scores.pdf
2016-11-26,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,男子シングル,フリースケーティング,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Men_FS_Scores.pdf
2016-11-26,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,女子シングル,フリースケーティング,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_Ladies_FS_Scores.pdf
2016-11-27,日本,札幌,真駒内セキスイハイムアイスアリーナ,NHK杯国際フィギュアスケート競技大会,アイスダンス,フリーダンス,http://www.isuresults.com/results/season1617/gpjpn2016/gpjpn2016_IceDance_FD_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニアアイスダンス,ショートダンス,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorIceDance_SD_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニアペア,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorPairs_SP_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニア男子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorMen_SP_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニア女子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorLadies_SP_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ペア,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_Pairs_SP_Scores.pdf
2016-12-08,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,男子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_Men_SP_Scores.pdf
2016-12-09,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニアアイスダンス,フリーダンス,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorIceDance_FD_Scores.pdf
2016-12-09,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ジュニア女子シングル,フリースケーティング,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_JuniorLadies_FS_Scores.pdf
2016-12-09,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,アイスダンス,ショートダンス,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_IceDance_SD_Scores.pdf
2016-12-09,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,ペア,フリースケーティング,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_Pairs_FS_Scores.pdf
2016-12-09,フランス,マルセイユ,パレ・オムニスポール・マルセイユ・グランデスト,ISUグランプリファイナル,女子シングル,ショートプログラム,http://www.isuresults.com/results/season1617/gpf1617/gpf1617_Ladies_SP_Scores.pdf
